Gene,Cell,Group
DCN,Mesenchymal,
TCF21,Mesenchymal,
PDGFRA,Mesenchymal,
COL1A1,Mesenchymal,
PTCH1,Theca lineage,
STC1,Theca lineage,
ESR2,Theca lineage,
APOC1,Theca lineage,
NR5A1,Theca lineage,
PTCH2,Theca lineage,
MEST,Theca lineage,
WFDC1,Theca lineage,
TIAM1,Theca lineage,
CLDN1,pre-Theca,
GLI1,pre-Theca,
PIEZO2,pre-Theca,
KCNT1,Theca,
CALB2,Theca,
INHA,Theca,
GSTA1,Theca,
MAP3K15,Theca,
LHCGR,Theca LHCGR,
INSL3,Theca steroidogenic,
ANPEP,Theca steroidogenic,
HSD3B2,Theca steroidogenic,
CYP17A1,Theca steroidogenic,
MGST1,Theca steroidogenic,
HGF,Theca HGF,
LHX9,Ovarian stroma,
TCF21,Ovarian stroma,
OGN,Ovarian stroma,
AFF3,Stroma sign,
IL1RAPL1,Stroma sign,
SGCZ,Stroma sign,
PWRN1,Stroma sign,
CDK13,Stroma sign,
COLEC11,Stroma preTheca,
LAMB1,Stroma preTheca,
TRABD2A,Stroma WNT4,
TMEM100,Stroma WNT4,
WNT4,Stroma WNT4,
COL10A1,Stroma WNT4,
COL8A1,Stroma WNT4,
SST,sPAX8,
CALY,sPAX8,
CXCR4,sPAX8,
PLAU,sPAX8,
PAX8,sPAX8,
FST,sPAX8,
LHX9,gonadal,
ARX,gonadal,
GATA4,gonadal,
GATA2,extragonadal,
RSPO3,extragonadal,
NR2F1,extragonadal,
IGFBP6,Fib C3,
NR2F1,Fib C3,
GATA2,Fib C3,
BCHE,Fib C3,
RSPO3,Fib C3,
C3,Fib C3,
MCAM,PV lineage,
RGS5,PV lineage,
ACTA2,PV lineage,
MYH11,PV lineage,
SMTNL2,ePV STEAP4,
STEAP4,ePV STEAP4,
SSTR2,ePV STEAP4,
ARHGAP15,ePV STEAP4,
MMP11,ePV MMP11,
LPL,ePV MMP11,
TDO2,ePV MMP11,
CYGB,ePV MMP11,
MAP3K7CL,ePV AOC3,
AOC3,ePV AOC3,
CCND1,ePV AOC3,
SLC38A11,ePV AOC3,
OR51E1,ePV AOC3,
FNDC1,ePV AOC3,
MYOM2,ePV AOC3,
NRARP,ePV AOC3,
KCNAB1,mPV MYH11,
FHL5,mPV MYH11,
RERGL,mPV MYH11,
LEFTY2,uSMCs,
ITGA11,uSMCs,
ACTG2,uSMCs,
PTPRC,Immune,
CD3D,Lymphoid,
NKG7,Lymphoid,
NCAM1,Lymphoid,
CSF1R,Myeloid,
CD14,Myeloid,
CDH5,Endothelial,
PECAM1,Endothelial,
VWF,Endothelial,
CXCR4,Endo_arte,
PRND,Endo_arte,
GJA4,Endo_arte,
PLVAP,Endo_fenestrated,
APLNR,Endo_fenestrated,
PLAT,Endo_fenestrated,
PROX1,Endo_lymphatic,
CCL21,Endo_lymphatic,
RELN,Endo_lymphatic,
OIT3,Endo_venous,
ECM1,Endo_venous,
SPP1,Endo_venous,
KRT19,Epithelial,
EPCAM,Epithelial,
HBA1,Erythroid,
GYPC,Erythroid,
